# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1393466
#@/user_id	jysperm
a 	ㄚ	c=1 d=5.42744e-76 t=1393466
mi zhen 	迷陣	c=0 d=8.86052e-108 t=1393466
mian 	免	c=12 d=1.13458e-103 t=1393466
mian 	棉	c=4 d=3.4675e-275 t=1393466
mian 	麪	c=38 d=0.0400517 t=1393466
mian ban 	面板	c=254 d=0.00105306 t=1393466
mian ban da bu kai 	面板打不開	c=1 d=0 t=1393466
mian ban de 	面板的	c=2 d=7.34453e-164 t=1393466
mian ban shang 	面板上	c=1 d=5.19661e-241 t=1393466
mian bang 	棉棒	c=1 d=0 t=1393466
mian bao 	麪包	c=13 d=1.75974e-06 t=1393466
mian bao dian 	麪包店	c=2 d=9.66099e-07 t=1393466
mian bao shu 	麪包樹	c=5 d=0 t=1393466
mian bei 	棉被	c=1 d=8.26738e-86 t=1393466
mian bi 	面壁	c=2 d=3.02949e-119 t=1393466
mian bu 	面部	c=3 d=7.51046e-74 t=1393466
mian bu liao 	免不了	c=2 d=0.0254765 t=1393466
mian chu 	免除	c=2 d=2.09181e-65 t=1393466
mian dan 	免單	c=1 d=0 t=1393466
mian de 	免得	c=12 d=2.77745e-18 t=1393466
mian dian 	緬甸	c=1 d=3.71366e-200 t=1393466
mian diao 	免掉	c=1 d=8.35481e-239 t=1393466
mian dui 	面對	c=24 d=8.77171e-18 t=1393466
mian dui de 	面對的	c=1 d=0 t=1393466
mian dui mian 	面對面	c=1 d=0 t=1393466
mian dui zhe xie 	面對這些	c=1 d=1 t=1355653
mian fei 	免費	c=346 d=0.634586 t=1393466
mian fei ban 	免費版	c=214 d=0.00108628 t=1393466
mian fei di 	免費地	c=1 d=2.72821e-131 t=1393466
mian fei e du 	免費額度	c=1 d=3.50582e-52 t=1393466
mian fei quan 	免費券	c=1 d=1.25959e-68 t=1393466
mian fei song 	免費送	c=1 d=0 t=1393466
mian fei yong 	免費用	c=1 d=2.55279e-202 t=1393466
mian fen 	麪粉	c=3 d=1.36529e-163 t=1393466
mian ge 	麪個	c=1 d=1 t=1368039
mian guang 	面廣	c=0 d=0 t=1393466
mian guang qing 	面廣輕	c=1 d=0 t=1393466
mian ji 	面積	c=30 d=2.01547e-10 t=1393466
mian jin 	麪筋	c=4 d=6.48686e-164 t=1393466
mian ju 	面具	c=2 d=1.6258e-188 t=1393466
mian kong 	面孔	c=1 d=0 t=1393466
mian le 	免了	c=1 d=1.03347e-05 t=1393466
mian lin 	面臨	c=14 d=1.3025e-21 t=1393466
mian lin zhe 	面臨着	c=4 d=2.10631e-58 t=1393466
mian liu 	免流	c=2 d=1.02306e-121 t=1393466
mian mian ju dao 	面面俱到	c=3 d=0 t=1393466
mian mian qiang qiang 	勉勉強強	c=10 d=0.0166557 t=1393466
mian mo 	面膜	c=2 d=8.87524e-09 t=1393466
mian pei 	免賠	c=1 d=3.70295e-249 t=1393466
mian qian 	免簽	c=3 d=5.39342e-149 t=1393466
mian qian 	面前	c=1 d=1.02581e-182 t=1393466
mian qiang 	勉強	c=32 d=1.51123e-05 t=1393466
mian qiu 	棉球	c=2 d=8.63118e-122 t=1393466
mian qu 	免去	c=1 d=1.04704e-217 t=1393466
mian shi 	面試	c=205 d=0.471587 t=1393466
mian shi guan 	面試官	c=11 d=2.6085e-15 t=1393466
mian shi guo 	面試過	c=3 d=1.807e-49 t=1393466
mian shi shi 	面試時	c=3 d=0.25284 t=1393466
mian shi ti 	面試題	c=22 d=1.06825e-12 t=1393466
mian shi wan 	面試完	c=1 d=2.65786e-59 t=1393466
mian shi zhe 	面試者	c=3 d=0.135335 t=1393466
mian shou 	免受	c=1 d=1.04504e-77 t=1393466
mian shou ji yi 	面授機宜	c=1 d=5.71816e-131 t=1393466
mian shui 	免稅	c=6 d=1.79188e-09 t=1393466
mian shui qu 	免稅區	c=1 d=0 t=1393466
mian tan 	面談	c=1 d=4.38669e-42 t=1393466
mian tian 	靦腆	c=1 d=0.110803 t=1393466
mian tiao 	麪條	c=0 d=1.36281e-45 t=1393466
mian tiao shi 	麪條式	c=1 d=6.96801e-45 t=1393466
mian tiao shi 	麪條試	c=1 d=6.72834e-45 t=1393466
mian tuo xie 	棉拖鞋	c=1 d=0 t=1393466
mian xi 	免息	c=5 d=1.28045e-27 t=1393466
mian xi qi 	免息期	c=1 d=1.28687e-26 t=1393466
mian xian 	棉線	c=1 d=3.1774e-130 t=1393466
mian xiang 	面向	c=54 d=0.00278111 t=1393466
mian xiang 	面相	c=1 d=1 t=1390601
mian xiang dui xiang 	面向對象	c=24 d=1.46453e-18 t=1393466
mian xie 	棉鞋	c=1 d=3.62109e-109 t=1393466
mian xin 	棉芯	c=1 d=1.87081e-163 t=1393466
mian yi 	免疫	c=2 d=0 t=1393466
mian yi 	面議	c=1 d=6.79134e-37 t=1393466
mian yi li 	免疫力	c=2 d=6.01133e-182 t=1393466
mian ze 	免責	c=9 d=3.70227e-17 t=1393466
mian ze sheng ming 	免責聲明	c=1 d=0 t=1393466
mian zhe 	麪着	c=1 d=3.01382e-214 t=1393466
mian zheng 	免徵	c=1 d=2.83804e-301 t=1393466
miao 	喵	c=11 d=1.29826e-12 t=1393466
miao 	妙	c=1 d=3.80249e-184 t=1393466
miao 	描	c=3 d=0 t=1393466
miao 	秒	c=518 d=1.13302 t=1393466
miao bu zu dao 	渺不足道	c=1 d=4.1904e-121 t=1393466
miao miao 	喵喵	c=0 d=5.06297e-259 t=1393466
miao miao miao 	喵喵喵	c=1 d=5.08835e-258 t=1393466
miao sha 	秒殺	c=21 d=1.09999e-114 t=1393466
miao shu 	描述	c=346 d=1.33139 t=1393466
miao shu de 	描述得	c=3 d=0 t=1393466
miao shu hua 	描述化	c=1 d=6.82074e-29 t=1393466
miao shu ju ti 	描述具體	c=1 d=6.95414e-286 t=1393466
miao shu shi 	描述式	c=1 d=2.82654e-77 t=1393466
miao shu shi 	描述是	c=1 d=0 t=1393466
miao shu wen jian 	描述文件	c=6 d=5.9043e-08 t=1393466
miao shu wo 	描述我	c=1 d=1 t=1357372
miao shu xing 	描述性	c=5 d=2.61704e-24 t=1393466
miao shu zhong 	描述中	c=2 d=5.33663e-54 t=1393466
miao sou hu 	秒搜狐	c=1 d=3.36138e-57 t=1393466
miao su hua 	喵俗話	c=1 d=1.55378e-155 t=1393466
miao xian bao 	秒獻寶	c=1 d=3.34624e-239 t=1393466
miao xie 	描寫	c=1 d=0 t=1393466
miao zhong 	秒鐘	c=3 d=8.92096e-40 t=1393466
miao zhun 	瞄準	c=6 d=4.61679e-114 t=1393466
mie 	滅	c=1 d=0 t=1393466
mie ge 	滅個	c=1 d=0 t=1393466
mie guo 	滅過	c=2 d=4.79133e-80 t=1393466
mie huo qi 	滅火器	c=1 d=1.60159e-188 t=1393466
mie le 	滅了	c=1 d=1 t=1382215
mie shi 	蔑視	c=1 d=2.97702e-99 t=1393466
mie you 	咩有	c=6 d=1.16338e-45 t=1393466
min 	民	c=2 d=0 t=1393466
min diao 	民調	c=0 d=5.3427e-274 t=1393466
min fa 	民法	c=5 d=6.6248e-103 t=1393466
min fa tong ze 	民法通則	c=1 d=2.57565e-248 t=1393466
min gan 	敏感	c=47 d=0.543351 t=1393466
min gan ci 	敏感詞	c=13 d=8.37401e-124 t=1393466
min gan dian 	敏感點	c=2 d=1.94176 t=1319159
min gan du 	敏感度	c=1 d=1 t=1319134
min gan xin xi 	敏感信息	c=1 d=2.09551e-27 t=1393466
min ge 	民歌	c=2 d=2.59665e-79 t=1393466
min gong 	民工	c=1 d=5.8809e-167 t=1393466
min guo 	民國	c=3 d=3.53793e-71 t=1393466
min hang 	民航	c=2 d=0 t=1393466
min ji 	閩籍	c=1 d=9.71902e-48 t=1393466
min jian 	民間	c=1 d=2.7136e-156 t=1393466
min jiang 	閩江	c=1 d=2.64128e-103 t=1393466
min jie 	敏捷	c=3 d=1.4919e-265 t=1393466
min jing 	民警	c=3 d=0 t=1393466
min sheng 	民生	c=1 d=1.70374e-92 t=1393466
min shi 	民事	c=13 d=2.70014e-49 t=1393466
min tai 	閩臺	c=2 d=0 t=1393466
min xin 	民心	c=0 d=1.55204e-231 t=1393466
min yi 	民意	c=1 d=0.000193545 t=1393466
min yong 	民用	c=1 d=3.51493e-200 t=1393466
min zheng ju 	民政局	c=1 d=0 t=1393466
min zhong 	民衆	c=14 d=6.86989e-84 t=1393466
min zhu 	民主	c=12 d=0.000803985 t=1393466
min zhu dang 	民主黨	c=2 d=4.8093e-124 t=1393466
min zhu guo jia 	民主國家	c=2 d=2.92672e-75 t=1393466
min zhu zhi du 	民主制度	c=1 d=0 t=1393466
min zu 	民族	c=15 d=9.54698e-217 t=1393466
min zu zhu yi 	民族主義	c=1 d=1.80573e-217 t=1393466
ming 	名	c=121 d=4.23306e-06 t=1393466
ming 	命	c=5 d=2.27043e-29 t=1393466
ming 	明	c=11 d=0.00775048 t=1393466
ming bai 	明白	c=37 d=0.0225956 t=1393466
ming ban 	明板	c=2 d=2.48205e-48 t=1393466
ming cheng 	名稱	c=35 d=1.20512e-06 t=1393466
ming chuang you pin 	名創優品	c=1 d=6.64533e-46 t=1393466
ming ci 	名次	c=8 d=8.47118e-49 t=1393466
ming ci 	名詞	c=4 d=2.81301e-50 t=1393466
ming dan 	名單	c=60 d=0.0164476 t=1393466
ming dan na 	名單那	c=1 d=0 t=1393466
ming dao 	明道	c=1 d=2.44984e-12 t=1393466
ming e 	名額	c=8 d=3.56706e-138 t=1393466
ming fan 	明礬	c=1 d=0 t=1393466
ming gan 	銘感	c=2 d=0 t=1393466
ming huang huang 	明晃晃	c=1 d=0 t=1393466
ming huo 	明火	c=1 d=1.01074e-08 t=1393466
ming kan hui 	名刊會	c=1 d=4.35326e-99 t=1393466
ming lang 	明朗	c=3 d=3.18789e-110 t=1393466
ming li 	明麗	c=4 d=3.73785e-07 t=1393466
ming liao 	明瞭	c=1 d=0 t=1393466
ming ling 	命令	c=415 d=0.140156 t=1393466
ming ling hang 	命令行	c=780 d=0.453845 t=1393466
ming ling hang ban 	命令行版	c=1 d=0 t=1393466
ming ling hang ge 	命令行個	c=1 d=2.22951e-256 t=1393466
ming ling me 	命令麼	c=1 d=3.6723e-39 t=1393466
ming ling ne 	命令呢	c=1 d=0 t=1393466
ming ling shi 	命令式	c=3 d=1.15063e-33 t=1393466
ming ling shi 	命令是	c=1 d=0 t=1393466
ming ling you 	命令有	c=2 d=0 t=1393466
ming ling yu 	命令與	c=1 d=3.80561e-223 t=1393466
ming ling zhi jian 	命令之間	c=1 d=0 t=1393466
ming mei you 	名沒有	c=1 d=1.97549e-39 t=1393466
ming mian 	明面	c=2 d=1.46883e-170 t=1393466
ming mian shang 	明面上	c=2 d=5.53914e-51 t=1393466
ming ming 	命名	c=72 d=0.146607 t=1393466
ming ming 	明明	c=181 d=0.000422213 t=1393466
ming ming bai bai 	明明白白	c=2 d=1.60062e-269 t=1393466
ming ming kong jian 	命名空間	c=57 d=0.0432828 t=1393466
ming ming shi 	明明是	c=1 d=0 t=1393466
ming mu 	名目	c=1 d=1.83004e-286 t=1393466
ming mu 	明目	c=1 d=1.81183e-286 t=1393466
ming nian 	明年	c=72 d=1.38257e-17 t=1393466
ming pian 	名片	c=2 d=4.85618e-238 t=1393466
ming qi 	名氣	c=3 d=4.74596e-262 t=1393466
ming qu 	名曲	c=1 d=3.89727e-62 t=1393466
ming que 	明確	c=104 d=0.496585 t=1393466
ming que de 	明確的	c=3 d=2.97782e-14 t=1393466
ming que di 	明確地	c=12 d=2.60762e-11 t=1393466
ming que hua 	明確化	c=2 d=1.49826e-87 t=1393466
ming que wei 	明確爲	c=1 d=0 t=1393466
ming que yi xia 	明確一下	c=1 d=4.34931e-294 t=1393466
ming ri 	明日	c=2 d=1.26574e-184 t=1393466
ming ri zhi zi 	明日之子	c=2 d=0 t=1393466
ming tai 	明臺	c=3 d=0 t=1393466
ming ti 	命題	c=3 d=1.625 t=1371813
ming tian 	明天	c=436 d=0.67032 t=1393466
ming wan 	明晚	c=2 d=1.47243e-140 t=1393466
ming wei 	名爲	c=28 d=1.26031e-16 t=1393466
ming wen 	明文	c=12 d=6.88109e-15 t=1393466
ming xi 	明晰	c=1 d=2.98771e-288 t=1393466
ming xi 	明細	c=19 d=0.000495472 t=1393466
ming xia 	名下	c=8 d=2.12205e-28 t=1393466
ming xian 	明顯	c=187 d=0.0485578 t=1393466
ming xian de 	明顯的	c=1 d=9.21084e-122 t=1393466
ming xian di 	明顯地	c=1 d=1.20757e-13 t=1393466
ming xian o 	明顯哦	c=1 d=0 t=1393466
ming xin pian 	明信片	c=1 d=2.5739e-241 t=1393466
ming xing 	明星	c=2 d=0.000139144 t=1393466
ming yi 	名義	c=12 d=5.31471e-35 t=1393466
ming yi shang 	名義上	c=9 d=1.39258e-43 t=1393466
ming yu 	名譽	c=3 d=4.84034e-271 t=1393466
ming yun 	命運	c=9 d=2.2582e-119 t=1393466
ming zao 	明早	c=1 d=8.72174e-39 t=1393466
ming zhi 	明智	c=1 d=1.11477e-131 t=1393466
ming zhi 	明知	c=2 d=3.77369e-168 t=1393466
ming zhi dao 	明知道	c=2 d=3.90897e-156 t=1393466
ming zhong 	命中	c=3 d=3.96291e-82 t=1393466
ming zhong lv 	命中率	c=1 d=9.12297e-215 t=1393466
ming zhu 	名著	c=1 d=6.77842e-44 t=1393466
ming zi 	名字	c=439 d=0.701173 t=1393466
ming zi hen xiang 	名字很像	c=1 d=3.12021e-181 t=1393466
miu 	繆	c=2 d=0 t=1393466
miu 	謬	c=1 d=3.33541e-54 t=1393466
miu lun 	謬論	c=2 d=8.80141e-234 t=1393466
miu si yuan 	繆思源	c=1 d=0 t=1393466
miu wu 	謬誤	c=1 d=1.47414e-183 t=1393466
mo 	墨	c=1 d=0 t=1393466
mo 	抹	c=3 d=1.10755e-84 t=1393466
mo 	摸	c=9 d=1.04778e-49 t=1393466
mo 	末	c=14 d=2.31913e-15 t=1393466
mo 	磨	c=17 d=1.24392e-09 t=1393466
mo 	膜	c=30 d=2.59505e-14 t=1393466
mo 	莫	c=4 d=1.06401e-24 t=1393466
mo bai 	膜拜	c=1 d=0 t=1393466
mo bai 	魔拜	c=8 d=0 t=1393466
mo ban 	模板	c=168 d=0.215395 t=1393466
mo ban che 	末班車	c=1 d=1.67075e-156 t=1393466
mo ban hua 	模板花	c=1 d=7.96861e-06 t=1393466
mo ban li 	模板裏	c=1 d=9.96813e-81 t=1393466
mo ban yin qing 	模板引擎	c=2 d=2.18861e-09 t=1393466
mo bi 	墨筆	c=1 d=0 t=1393466
mo bu dao 	摸不到	c=2 d=4.40492e-32 t=1393466
mo ca 	摩擦	c=2 d=0 t=1393466
mo ca li 	摩擦力	c=1 d=1.72462e-147 t=1393466
mo cha 	抹茶	c=2 d=0 t=1393466
mo dao 	摸到	c=1 d=7.68774e-25 t=1393466
mo di 	摸底	c=1 d=0 t=1393466
mo diao 	抹掉	c=4 d=1.60965e-132 t=1393466
mo diao 	磨掉	c=1 d=0 t=1393466
mo dou 	磨豆	c=4 d=1.07048e-154 t=1393466
mo dou ji 	磨豆機	c=3 d=2.31353e-15 t=1393466
mo dou qi 	磨豆器	c=1 d=2.39594e-15 t=1393466
mo duan 	末端	c=8 d=2.02068e-11 t=1393466
mo er 	摩爾	c=3 d=0 t=1393466
mo fa 	魔法	c=14 d=3.27559e-47 t=1393466
mo fa ban 	魔法版	c=1 d=5.01629e-61 t=1393466
mo fa ban 	魔法般	c=1 d=0 t=1393466
mo fa shi jie 	魔法世界	c=1 d=0 t=1393466
mo fang 	模仿	c=14 d=1.00553e-06 t=1393466
mo fang 	魔方	c=7 d=3.01605e-17 t=1393466
mo fang ni 	模仿你	c=1 d=0 t=1393466
mo fei 	莫非	c=0 d=0 t=1393466
mo fei ding li 	莫非定理	c=1 d=0 t=1393466
mo fen 	磨粉	c=1 d=0 t=1393466
mo gai 	魔改	c=9 d=1.02142e-14 t=1393466
mo gai guo 	魔改過	c=1 d=5.25343e-75 t=1393466
mo ge 	膜個	c=1 d=1.30948e-25 t=1393466
mo gu 	蘑菇	c=9 d=7.14707e-20 t=1393466
mo gui hu 	魔鬼湖	c=0 d=0 t=1393466
mo guo 	摸過	c=1 d=2.83463e-140 t=1393466
mo ha 	膜哈	c=1 d=2.75537e-218 t=1393466
mo he 	磨合	c=1 d=0 t=1393466
mo hei 	抹黑	c=2 d=0 t=1393466
mo hu 	模糊	c=61 d=2.28704e-06 t=1393466
mo hu 	魔壺	c=1 d=2.10216e-123 t=1393466
mo hu cha xun 	模糊查詢	c=2 d=7.81589e-43 t=1393466
mo hu diao 	模糊掉	c=1 d=4.35266e-68 t=1393466
mo hu hua 	模糊化	c=1 d=1.58333e-112 t=1393466
mo hu pi pei 	模糊匹配	c=1 d=1 t=1374021
mo jie 	魔界	c=2 d=4.88167e-182 t=1393466
mo jing 	墨鏡	c=1 d=1.74704e-05 t=1393466
mo jing 	魔鏡	c=2 d=0.000117592 t=1393466
mo ju 	模具	c=0 d=1.59142e-26 t=1393466
mo ju an pai 	模具安排	c=1 d=1.5994e-25 t=1393466
mo ka 	摩卡	c=1 d=2.30483e-15 t=1393466
mo ka hu 	摩卡壺	c=19 d=0.0002964 t=1393466
mo kan 	磨勘	c=1 d=7.62008e-68 t=1393466
mo kuai 	模塊	c=254 d=2.105 t=1393466
mo kuai hua 	模塊化	c=6 d=8.72499e-14 t=1393466
mo kuai kan 	模塊看	c=1 d=0 t=1393466
mo kuai xi tong 	模塊系統	c=1 d=0 t=1393466
mo le 	摸了	c=1 d=1.39065e-203 t=1393466
mo le 	磨了	c=1 d=1.60966e-12 t=1393466
mo li 	茉莉	c=2 d=2.18772e-63 t=1393466
mo li hua cha 	茉莉花茶	c=1 d=1 t=1349331
mo luo 	沒落	c=1 d=6.92758e-06 t=1393466
mo mi tong 	摸米桶	c=0 d=0 t=1393466
mo ming 	莫名	c=1 d=0 t=1393466
mo ming di 	莫名地	c=1 d=0 t=1393466
mo ming qi miao 	莫名其妙	c=4 d=5.39612e-08 t=1393466
mo mo 	摸摸	c=4 d=1.74325e-97 t=1393466
mo mo 	默默	c=4 d=0.000860854 t=1393466
mo mo ceng ceng 	磨磨蹭蹭	c=1 d=1.84924e-203 t=1393466
mo mo di 	默默地	c=3 d=0.0086517 t=1393466
mo mo tou 	摸摸頭	c=19 d=0.00249768 t=1393466
mo nang 	墨囊	c=1 d=1.97907e-119 t=1393466
mo ni 	模擬	c=91 d=3.17698e-10 t=1393466
mo ni cheng shi 	模擬城市	c=10 d=0 t=1393466
mo ni qi 	模擬器	c=12 d=4.22847e-51 t=1393466
mo ni ren sheng 	模擬人生	c=2 d=1.09125e-233 t=1393466
mo ni yong hu 	模擬用戶	c=1 d=4.7083e-139 t=1393466
mo nv 	魔女	c=1 d=0 t=1393466
mo ping 	抹平	c=6 d=0 t=1393466
mo qi 	默契	c=2 d=0 t=1393466
mo ren 	沒人	c=4 d=0.0850706 t=1393466
mo ren 	默認	c=1079 d=0.947181 t=1393466
mo ren di 	默認地	c=1 d=0 t=1393466
mo ren fen zu 	默認分組	c=5 d=2.84015e-251 t=1393466
mo ren jiu shi 	默認就是	c=1 d=0 t=1393466
mo ren ne 	默認呢	c=11 d=3.21128e-49 t=1393466
mo ren qing kuang xia 	默認情況下	c=3 d=1.45477e-292 t=1393466
mo ren shi 	默認是	c=3 d=6.57639e-276 t=1393466
mo ren wei 	默認爲	c=4 d=4.40796e-187 t=1393466
mo ren xing wei 	默認行爲	c=3 d=2.96681e-88 t=1393466
mo ren ye 	默認頁	c=2 d=6.71424e-226 t=1393466
mo ren you 	默認有	c=1 d=8.03978e-228 t=1393466
mo ren zhe 	默認這	c=1 d=0 t=1393466
mo ren zhi 	默認值	c=101 d=1.33366e-05 t=1393466
mo ren zhi xian 	默認值先	c=2 d=4.22302e-124 t=1393466
mo ren zu 	默認組	c=2 d=1.25845e-263 t=1393466
mo ri 	末日	c=2 d=1.42469e-164 t=1393466
mo sha 	磨砂	c=2 d=7.79073e-152 t=1393466
mo sha hei 	磨砂黑	c=1 d=0 t=1393466
mo shang 	抹上	c=1 d=1.56506e-05 t=1393466
mo shang 	摸上	c=1 d=2.56166e-184 t=1393466
mo shang qu 	摸上去	c=2 d=2.66165e-17 t=1393466
mo sheng 	陌生	c=2 d=1.38399e-29 t=1393466
mo sheng ren 	陌生人	c=12 d=6.17546e-95 t=1393466
mo shi 	模式	c=331 d=0.0098528 t=1393466
mo shi de 	模式的	c=1 d=3.59862e-124 t=1393466
mo shi xia 	模式下	c=3 d=1.31153e-14 t=1393466
mo shi yun xu 	模式允許	c=1 d=1.21834e-88 t=1393466
mo shi zhong 	模式種	c=1 d=2.09687e-64 t=1393466
mo shi zuo 	模式做	c=1 d=2.07623e-124 t=1393466
mo shou 	魔獸	c=2 d=1.72591e-97 t=1393466
mo shu 	魔術	c=4 d=1.57902e-80 t=1393466
mo sui 	磨碎	c=2 d=0 t=1393466
mo suo 	摸索	c=4 d=4.48415e-57 t=1393466
mo suo chu 	摸索出	c=1 d=3.29303e-80 t=1393466
mo tou 	摸頭	c=2 d=0 t=1393466
mo tuo 	摩托	c=1 d=1.82481e-223 t=1393466
mo tuo che 	摩托車	c=12 d=2.34542e-264 t=1393466
mo tuo luo la 	摩托羅拉	c=1 d=0 t=1393466
mo wei 	末尾	c=40 d=0.0587185 t=1393466
mo wei nan ti 	末尾難題	c=1 d=0 t=1393466
mo xie 	魔羯	c=1 d=1 t=1362384
mo xing 	模型	c=96 d=0.272532 t=1393466
mo xing o 	模型哦	c=1 d=6.03383e-28 t=1393466
mo xing xia 	模型下	c=1 d=0 t=1393466
mo xing zhong 	模型中	c=1 d=0 t=1393466
mo xu 	默許	c=2 d=2.00733e-80 t=1393466
mo ya 	磨牙	c=1 d=4.69181e-39 t=1393466
mo yan 	莫言	c=1 d=2.4891e-287 t=1393466
mo yu 	摸魚	c=15 d=7.75708e-13 t=1393466
mo yu de hua 	摸魚的話	c=1 d=6.72033e-31 t=1393466
mo zhe 	摸着	c=2 d=7.14099e-10 t=1393466
mo zu 	模組	c=2 d=7.12897e-284 t=1393466
mou 	某	c=21 d=4.94361e-07 t=1393466
mou ci 	某次	c=4 d=2.23154e-61 t=1393466
mou duan 	某端	c=1 d=0 t=1393466
mou ge 	某個	c=243 d=0.818731 t=1393466
mou ge dong xi 	某個東西	c=1 d=0 t=1393466
mou ge ju ti 	某個具體	c=1 d=1 t=1318215
mou ge ren 	某個人	c=5 d=1.06278e-128 t=1393466
mou ge shi jian 	某個時間	c=1 d=2.40273e-107 t=1393466
mou ge shu 	某個數	c=1 d=3.24874e-09 t=1393466
mou ge zhi 	某個值	c=1 d=1 t=1343332
mou ge zhi 	某個只	c=1 d=0 t=1393466
mou ge zu 	某個組	c=1 d=2.37453e-27 t=1393466
mou ji ge 	某幾個	c=2 d=1 t=1373229
mou ji tai 	某幾臺	c=1 d=5.50255e-120 t=1393466
mou lei 	某類	c=1 d=0 t=1393466
mou li 	謀利	c=1 d=0 t=1393466
mou mou 	某某	c=4 d=5.78978e-101 t=1393466
mou nian 	某年	c=1 d=1.06894e-49 t=1393466
mou qiu 	謀求	c=1 d=0 t=1393466
mou ren 	某人	c=3 d=6.25747e-15 t=1393466
mou ren zhi 	某人只	c=1 d=0 t=1393466
mou ri 	某日	c=1 d=1.0743e-49 t=1393466
mou sha an 	謀殺案	c=1 d=0 t=1393466
mou tai 	某台	c=24 d=4.75528e-50 t=1393466
mou ti a 	某提啊	c=2 d=0 t=1393466
mou tian 	某天	c=3 d=3.08555e-165 t=1393466
mou tiao 	某調	c=1 d=0 t=1393466
mou xiang 	某項	c=2 d=7.23688e-108 t=1393466
mou xie 	某些	c=51 d=2.98309e-18 t=1393466
mou xie qing kuang xia 	某些情況下	c=1 d=1 t=1318935
mou yi 	某一	c=12 d=2.41979e-32 t=1393466
mou yi ceng 	某一層	c=2 d=0 t=1393466
mou yi ci 	某一次	c=1 d=0 t=1393466
mou yi dai 	某一代	c=1 d=0 t=1393466
mou yi fang mian 	某一方面	c=2 d=1.99881e-30 t=1393466
mou yi fen 	某一份	c=1 d=0 t=1393466
mou yi ge 	某一個	c=14 d=7.83079e-36 t=1393466
mou yi hang 	某一行	c=1 d=0 t=1393466
mou yi lei 	某一類	c=1 d=6.02055e-149 t=1393466
mou yi lie 	某一列	c=1 d=2.61717e-289 t=1393466
mou yi shi jian 	某一時間	c=1 d=0 t=1393466
mou yi shi jian duan 	某一時間段	c=1 d=5.69855e-120 t=1393466
mou yi tai 	某一太	c=1 d=0 t=1393466
mou yi yuan yin 	某一原因	c=1 d=6.34279e-86 t=1393466
mou yi zhou 	某一週	c=1 d=0 t=1393466
mou zhong 	某種	c=57 d=0.00341356 t=1393466
mou zhong cheng du 	某種程度	c=1 d=0 t=1393466
mu 	姆	c=3 d=7.78511e-26 t=1393466
mu 	木	c=6 d=1.50048e-68 t=1393466
mu 	母	c=26 d=1.14707e-26 t=1393466
mu bian shi 	木變石	c=1 d=6.57585e-40 t=1393466
mu biao 	目標	c=251 d=0.669037 t=1393466
mu ce 	目測	c=7 d=0.367879 t=1393466
mu chang 	牧場	c=2 d=1.04042e-26 t=1393466
mu chang wu 	牧場物	c=1 d=1.04564e-25 t=1393466
mu cun 	木村	c=1 d=6.52553e-126 t=1393466
mu de 	母的	c=5 d=1.45208e-94 t=1393466
mu de 	目地	c=1 d=2.10709e-33 t=1393466
mu di 	目的	c=89 d=5.88906e-07 t=1393466
mu di di 	目的地	c=7 d=4.56697e-104 t=1393466
mu di shi 	目的是	c=2 d=5.93692e-14 t=1393466
mu di xing 	目的性	c=7 d=9.83238e-08 t=1393466
mu diao 	木雕	c=1 d=1.66614e-06 t=1393466
mu er 	木耳	c=4 d=4.60977e-243 t=1393466
mu gong 	木工	c=1 d=9.43989e-205 t=1393466
mu gong si 	母公司	c=2 d=2.26326e-80 t=1393466
mu guang 	目光	c=3 d=9.30431e-35 t=1393466
mu ji 	募集	c=1 d=1.10049e-97 t=1393466
mu jia 	木架	c=2 d=2.61367e-97 t=1393466
mu ju 	模具	c=2 d=0 t=1393466
mu ke 	幕客	c=1 d=0 t=1393466
mu lan 	木蘭	c=3 d=6.51681e-88 t=1393466
mu lu 	目錄	c=509 d=0.985457 t=1393466
mu lu ming 	目錄名	c=2 d=1.07198e-288 t=1393466
mu lu ti 	目錄提	c=1 d=1.63546e-287 t=1393466
mu lu xia 	目錄下	c=3 d=6.09304e-84 t=1393466
mu ma 	木馬	c=2 d=9.23843e-69 t=1393466
mu mao 	木貓	c=3 d=0 t=1393466
mu mao 	母貓	c=6 d=7.87113e-67 t=1393466
mu ming er lai 	慕名而來	c=1 d=1.98136e-162 t=1393466
mu ni hei 	慕尼黑	c=1 d=0 t=1393466
mu qian 	目前	c=2720 d=1.31605 t=1393466
mu qian de 	目前的	c=2 d=3.8676e-266 t=1393466
mu qian de hua 	目前的話	c=1 d=0 t=1393466
mu qian mei sa 	目前沒撒	c=1 d=1 t=1349402
mu qian shi 	目前是	c=2 d=0 t=1393466
mu qin 	母親	c=1 d=8.50647e-186 t=1393466
mu si lin 	穆斯林	c=2 d=0 t=1393466
mu tang chun 	木糖醇	c=2 d=0 t=1393466
mu ti 	母體	c=1 d=1 t=1351958
mu tou 	木頭	c=9 d=3.75874e-48 t=1393466
mu wu 	木屋	c=1 d=3.78156e-31 t=1393466
mu xi 	木樨	c=0 d=2.28423e-160 t=1393466
mu xi di 	木樨地	c=1 d=2.29568e-159 t=1393466
mu xing 	木星	c=2 d=3.71026e-120 t=1393466
mu yang 	模樣	c=1 d=2.10752e-06 t=1393466
